                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4976,                 1.7546,                  1.247,                0.81321,                0.50671,                0.49413,                0.24727,                 1.6038,                 1.4694,                 1.3433,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.4454,                 1.1977,                 1.1898,                0.83087,                0.50212,                0.50452,                0.26561,                 1.5892,                 1.2192,                 1.3112,              0.0065981,              0.0065981,              0.0065981
                      3,                 1.4681,                 1.1301,                 1.2039,                0.81937,                 0.5018,                0.48411,                0.24379,                 1.6348,                 1.2314,                 1.3334,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.4699,                 1.0883,                 1.2157,                0.83023,                0.50651,                0.50063,                0.25551,                 1.5786,                 1.1543,                  1.335,               0.009703,               0.009703,               0.009703
                      5,                 1.4387,                 1.0253,                 1.2012,                 0.8417,                0.52973,                0.52663,                0.27534,                 1.5932,                 1.0803,                 1.3328,               0.009604,               0.009604,               0.009604
                      6,                 1.4147,                0.98918,                 1.1897,                0.84695,                0.53176,                0.53518,                0.28492,                 1.5804,                 1.0548,                 1.3175,               0.009505,               0.009505,               0.009505
                      7,                  1.398,                0.95616,                 1.1832,                0.85021,                0.53262,                0.53611,                0.29514,                 1.5164,                 1.0232,                 1.2999,               0.009406,               0.009406,               0.009406
                      8,                 1.3861,                0.93643,                 1.1739,                0.84525,                0.53865,                0.54088,                0.29745,                 1.5234,                 1.0404,                 1.3018,               0.009307,               0.009307,               0.009307
                      9,                 1.3762,                0.92259,                 1.1695,                0.84607,                0.53877,                 0.5456,                0.30595,                 1.5189,                0.99995,                  1.302,               0.009208,               0.009208,               0.009208
                     10,                 1.3691,                0.90998,                 1.1681,                0.84988,                0.54376,                0.55503,                0.30758,                 1.4899,                 1.0164,                 1.2784,               0.009109,               0.009109,               0.009109
                     11,                 1.3614,                0.89424,                 1.1607,                0.84777,                 0.5467,                0.55318,                0.30984,                 1.4917,                0.99603,                 1.2784,                0.00901,                0.00901,                0.00901
                     12,                 1.3488,                0.88592,                 1.1565,                0.84974,                0.54951,                0.55862,                0.31455,                 1.4572,                0.98152,                 1.2545,               0.008911,               0.008911,               0.008911
                     13,                 1.3447,                0.87642,                 1.1525,                0.84658,                0.55228,                0.55441,                0.31299,                  1.477,                0.99358,                 1.2679,               0.008812,               0.008812,               0.008812
