                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.3368,                0.86662,                 1.1485,                0.85502,                0.55402,                0.56463,                0.32095,                 1.4714,                0.96185,                 1.2716,               0.008713,               0.008713,               0.008713
                     15,                 1.3283,                0.85561,                 1.1443,                0.85067,                0.56027,                0.56951,                0.32908,                 1.4447,                0.95536,                 1.2486,               0.008614,               0.008614,               0.008614
                     16,                 1.3265,                0.85466,                 1.1452,                0.84953,                0.55617,                 0.5642,                0.32696,                 1.4548,                0.94616,                  1.256,               0.008515,               0.008515,               0.008515
                     17,                 1.3185,                0.84031,                  1.141,                0.84819,                0.56131,                0.56506,                 0.3285,                 1.4412,                0.93993,                 1.2438,               0.008416,               0.008416,               0.008416
                     18,                 1.3151,                0.83816,                 1.1365,                0.84837,                 0.5672,                0.57098,                 0.3329,                 1.4349,                0.93567,                 1.2405,               0.008317,               0.008317,               0.008317
                     19,                 1.3181,                0.83418,                 1.1409,                0.85217,                0.56148,                0.56956,                 0.3289,                 1.4381,                0.92714,                 1.2506,               0.008218,               0.008218,               0.008218
                     20,                  1.306,                0.82386,                 1.1328,                0.84882,                0.56394,                0.57146,                0.33441,                 1.4309,                0.92807,                  1.242,               0.008119,               0.008119,               0.008119
                     21,                 1.3068,                0.81746,                 1.1334,                0.85021,                0.56795,                0.57612,                0.33877,                  1.425,                0.92128,                 1.2406,                0.00802,                0.00802,                0.00802
                     22,                 1.3029,                0.82021,                 1.1341,                0.85024,                0.56834,                0.57228,                0.33847,                 1.4146,                0.92154,                 1.2344,               0.007921,               0.007921,               0.007921
                     23,                  1.299,                 0.8064,                  1.131,                0.85168,                0.56769,                0.57206,                0.33894,                 1.4167,                0.92137,                 1.2387,               0.007822,               0.007822,               0.007822
                     24,                 1.2929,                0.80961,                 1.1296,                0.85225,                0.56946,                0.57761,                0.34076,                  1.413,                0.91361,                 1.2354,               0.007723,               0.007723,               0.007723
                     25,                 1.2906,                0.81312,                 1.1313,                0.84824,                0.57469,                0.57825,                0.34275,                 1.4097,                0.91406,                 1.2368,               0.007624,               0.007624,               0.007624
                     26,                 1.2951,                0.80617,                 1.1266,                0.85055,                0.56839,                 0.5776,                0.34259,                 1.4119,                0.90971,                 1.2352,               0.007525,               0.007525,               0.007525
                     27,                 1.2836,                0.79265,                 1.1218,                0.85065,                0.57182,                 0.5737,                0.34171,                 1.4132,                0.90786,                 1.2366,               0.007426,               0.007426,               0.007426
                     28,                 1.2833,                0.80112,                  1.122,                0.85527,                0.56632,                0.57781,                0.34419,                 1.4025,                0.90444,                 1.2289,               0.007327,               0.007327,               0.007327
                     29,                 1.2851,                0.79491,                 1.1233,                0.85713,                0.56798,                0.57958,                0.34601,                 1.4013,                0.90094,                 1.2283,               0.007228,               0.007228,               0.007228
                     30,                 1.2736,                0.78367,                 1.1176,                0.85453,                0.57036,                 0.5788,                0.34748,                 1.3955,                0.89584,                 1.2252,               0.007129,               0.007129,               0.007129
                     31,                  1.273,                0.78319,                 1.1154,                0.85007,                0.57451,                 0.5799,                0.34883,                 1.3944,                0.89594,                 1.2232,                0.00703,                0.00703,                0.00703
                     32,                 1.2666,                0.77863,                 1.1132,                0.85232,                0.57287,                0.58114,                0.35051,                 1.3944,                0.89274,                 1.2226,               0.006931,               0.006931,               0.006931
                     33,                 1.2733,                0.77678,                 1.1143,                0.85244,                0.57284,                0.58305,                 0.3513,                  1.391,                0.89207,                 1.2212,               0.006832,               0.006832,               0.006832
                     34,                 1.2624,                0.77374,                  1.113,                0.85512,                0.57102,                0.58386,                0.35214,                 1.3903,                0.88957,                 1.2219,               0.006733,               0.006733,               0.006733
                     35,                  1.261,                0.76978,                 1.1138,                0.85207,                0.57252,                0.58326,                0.35255,                 1.3897,                0.88916,                 1.2236,               0.006634,               0.006634,               0.006634
                     36,                 1.2581,                0.77107,                 1.1123,                0.84953,                0.57551,                0.58366,                0.35326,                 1.3866,                0.88375,                 1.2212,               0.006535,               0.006535,               0.006535
                     37,                 1.2592,                0.76246,                  1.107,                0.85304,                0.57398,                 0.5845,                0.35476,                  1.387,                 0.8832,                 1.2202,               0.006436,               0.006436,               0.006436
                     38,                 1.2538,                0.76059,                 1.1075,                0.85286,                0.57452,                0.58314,                0.35449,                 1.3857,                0.88608,                  1.218,               0.006337,               0.006337,               0.006337
                     39,                 1.2554,                0.76576,                  1.109,                0.85662,                0.56999,                0.58313,                0.35391,                 1.3855,                0.88544,                 1.2179,               0.006238,               0.006238,               0.006238
                     40,                 1.2508,                0.75462,                 1.1052,                0.85421,                0.57347,                0.58333,                0.35447,                 1.3838,                0.88279,                 1.2181,               0.006139,               0.006139,               0.006139
                     41,                 1.2483,                0.75813,                 1.1055,                0.85462,                0.57407,                0.58463,                0.35622,                 1.3827,                0.88038,                 1.2182,                0.00604,                0.00604,                0.00604
                     42,                 1.2475,                0.75642,                 1.1044,                 0.8538,                0.57467,                0.58506,                0.35723,                 1.3807,                0.87984,                 1.2175,               0.005941,               0.005941,               0.005941
                     43,                 1.2459,                0.75422,                 1.1031,                0.85198,                0.57659,                0.58566,                0.35804,                 1.3789,                0.87806,                  1.216,               0.005842,               0.005842,               0.005842
                     44,                 1.2415,                0.74894,                 1.1013,                0.85376,                0.57417,                0.58524,                0.35814,                  1.378,                0.87755,                  1.216,               0.005743,               0.005743,               0.005743
                     45,                 1.2397,                0.74827,                 1.1033,                0.85343,                0.57592,                0.58586,                0.35852,                 1.3774,                0.87692,                 1.2163,               0.005644,               0.005644,               0.005644
                     46,                 1.2398,                0.74726,                 1.1045,                0.51934,                0.57655,                0.58615,                0.35935,                 1.3771,                0.87395,                 1.2166,               0.005545,               0.005545,               0.005545
                     47,                 1.2357,                0.74019,                  1.098,                0.52039,                  0.576,                0.58696,                0.36041,                 1.3758,                0.87287,                 1.2161,               0.005446,               0.005446,               0.005446
                     48,                 1.2344,                0.73831,                  1.098,                0.52074,                0.57663,                0.58771,                0.36084,                 1.3745,                0.87084,                 1.2154,               0.005347,               0.005347,               0.005347
                     49,                 1.2314,                0.73096,                 1.0961,                0.52228,                0.57574,                0.58817,                0.36135,                 1.3743,                0.86883,                 1.2152,               0.005248,               0.005248,               0.005248
                     50,                 1.2256,                0.72838,                  1.093,                0.52194,                0.57702,                0.58823,                0.36176,                 1.3737,                0.86707,                 1.2147,               0.005149,               0.005149,               0.005149
                     51,                 1.2236,                0.72817,                  1.092,                0.52095,                0.57854,                0.58888,                0.36276,                 1.3727,                0.86427,                 1.2138,                0.00505,                0.00505,                0.00505
                     52,                 1.2271,                0.72592,                 1.0946,                0.52106,                0.57778,                0.58919,                0.36354,                 1.3711,                0.86165,                 1.2131,               0.004951,               0.004951,               0.004951
                     53,                 1.2211,                0.71986,                 1.0933,                0.52016,                0.57922,                0.58933,                0.36456,                 1.3701,                0.85948,                 1.2126,               0.004852,               0.004852,               0.004852
                     54,                 1.2178,                0.71517,                   1.09,                0.51922,                0.58048,                0.58969,                0.36485,                 1.3692,                0.85761,                 1.2123,               0.004753,               0.004753,               0.004753
                     55,                 1.2105,                0.70935,                 1.0891,                 0.5197,                0.58095,                0.59014,                0.36529,                 1.3681,                0.85534,                 1.2118,               0.004654,               0.004654,               0.004654
                     56,                 1.2171,                0.71645,                 1.0885,                0.52037,                0.58019,                0.59051,                0.36628,                 1.3666,                0.85308,                 1.2107,               0.004555,               0.004555,               0.004555
                     57,                 1.2124,                0.70617,                 1.0854,                0.52003,                0.58058,                0.59093,                0.36688,                 1.3654,                0.85045,                   1.21,               0.004456,               0.004456,               0.004456
                     58,                 1.2075,                0.70488,                 1.0872,                 0.5197,                0.58149,                0.59135,                0.36745,                 1.3647,                0.84829,                 1.2096,               0.004357,               0.004357,               0.004357
                     59,                 1.2051,                0.69589,                 1.0843,                0.51846,                0.58373,                0.59194,                0.36775,                 1.3641,                0.84582,                 1.2091,               0.004258,               0.004258,               0.004258
                     60,                 1.2058,                0.69305,                 1.0825,                0.51911,                0.58321,                0.59251,                0.36825,                 1.3634,                0.84334,                  1.209,               0.004159,               0.004159,               0.004159
                     61,                 1.2004,                0.68831,                 1.0824,                0.51921,                0.58454,                0.59327,                0.36926,                 1.3623,                0.83991,                 1.2083,                0.00406,                0.00406,                0.00406
                     62,                 1.2009,                0.68656,                 1.0803,                0.51857,                0.58534,                0.59359,                0.36998,                 1.3613,                0.83699,                 1.2076,               0.003961,               0.003961,               0.003961
                     63,                 1.1976,                0.68283,                 1.0799,                0.51907,                0.58595,                0.59433,                 0.3711,                 1.3599,                0.83333,                 1.2068,               0.003862,               0.003862,               0.003862
                     64,                 1.1954,                 0.6816,                 1.0779,                0.51914,                0.58628,                0.59497,                0.37201,                 1.3587,                0.83003,                  1.206,               0.003763,               0.003763,               0.003763
                     65,                 1.1948,                0.67959,                 1.0787,                0.51986,                0.58641,                0.59569,                0.37269,                 1.3575,                0.82681,                 1.2054,               0.003664,               0.003664,               0.003664
                     66,                 1.1933,                 0.6728,                 1.0786,                0.51988,                0.58809,                0.59611,                0.37343,                 1.3565,                0.82389,                 1.2047,               0.003565,               0.003565,               0.003565
                     67,                 1.1929,                0.66718,                  1.076,                0.52033,                0.58835,                0.59679,                0.37423,                 1.3552,                0.81996,                 1.2039,               0.003466,               0.003466,               0.003466
                     68,                 1.1863,                0.66094,                 1.0757,                0.52112,                0.58914,                 0.5976,                0.37528,                 1.3537,                0.81603,                  1.203,               0.003367,               0.003367,               0.003367
                     69,                 1.1824,                0.65944,                  1.071,                0.52217,                 0.5894,                0.59827,                0.37624,                 1.3518,                0.81145,                 1.2019,               0.003268,               0.003268,               0.003268
                     70,                  1.183,                0.66279,                 1.0713,                0.52296,                0.58943,                0.59899,                0.37735,                 1.3502,                0.80713,                 1.2008,               0.003169,               0.003169,               0.003169
                     71,                 1.1736,                0.65225,                   1.07,                0.51944,                0.59621,                0.60007,                0.37851,                 1.3487,                0.80176,                 1.1996,                0.00307,                0.00307,                0.00307
                     72,                 1.1782,                 0.6498,                 1.0693,                0.51982,                0.59648,                0.60075,                0.37969,                 1.3467,                0.79589,                 1.1982,               0.002971,               0.002971,               0.002971
                     73,                  1.175,                0.65164,                 1.0694,                0.52449,                0.60508,                0.60174,                0.38081,                 1.3449,                0.79064,                 1.1968,               0.002872,               0.002872,               0.002872
                     74,                 1.1726,                0.64357,                 1.0648,                0.52704,                0.60451,                0.60269,                0.38201,                 1.3431,                0.78482,                 1.1955,               0.002773,               0.002773,               0.002773
                     75,                 1.1698,                0.63858,                  1.064,                0.53478,                0.60031,                0.60335,                0.38318,                 1.3412,                0.77977,                  1.194,               0.002674,               0.002674,               0.002674
                     76,                 1.1679,                0.63354,                 1.0638,                0.53652,                0.59978,                0.60439,                0.38406,                  1.339,                0.77424,                 1.1924,               0.002575,               0.002575,               0.002575
                     77,                 1.1634,                0.63001,                 1.0625,                0.53927,                0.59937,                0.60562,                0.38554,                 1.3371,                0.76779,                 1.1911,               0.002476,               0.002476,               0.002476
                     78,                 1.1613,                0.63146,                 1.0609,                0.54095,                0.59967,                0.60683,                0.38684,                 1.3353,                0.76252,                 1.1898,               0.002377,               0.002377,               0.002377
                     79,                 1.1569,                 0.6247,                 1.0602,                0.53283,                0.61274,                0.60759,                0.38793,                 1.3336,                0.75799,                 1.1887,               0.002278,               0.002278,               0.002278
                     80,                 1.1553,                0.62019,                 1.0602,                0.53947,                0.61187,                0.60864,                0.38919,                  1.332,                0.75227,                 1.1875,               0.002179,               0.002179,               0.002179
                     81,                 1.1534,                0.61134,                 1.0572,                0.54495,                0.60953,                0.60946,                0.39006,                 1.3307,                0.74797,                 1.1866,                0.00208,                0.00208,                0.00208
                     82,                 1.1519,                 0.6169,                 1.0571,                0.54842,                0.61514,                0.61058,                0.39102,                 1.3292,                 0.7427,                 1.1855,               0.001981,               0.001981,               0.001981
                     83,                 1.1449,                0.60928,                 1.0558,                0.55539,                0.61802,                0.61161,                0.39214,                  1.328,                0.73759,                 1.1846,               0.001882,               0.001882,               0.001882
                     84,                 1.1417,                0.60476,                 1.0533,                 0.5577,                 0.6187,                0.61262,                0.39308,                 1.3264,                0.73201,                 1.1834,               0.001783,               0.001783,               0.001783
                     85,                 1.1415,                0.60426,                 1.0529,                0.57201,                0.61838,                0.61358,                0.39405,                 1.3253,                0.72755,                 1.1824,               0.001684,               0.001684,               0.001684
                     86,                 1.1369,                0.59851,                 1.0487,                0.57931,                0.61508,                0.61433,                0.39522,                 1.3243,                0.72301,                 1.1815,               0.001585,               0.001585,               0.001585
                     87,                 1.1329,                0.59758,                 1.0475,                0.56809,                0.62025,                0.61536,                0.39624,                 1.3231,                0.71893,                 1.1805,               0.001486,               0.001486,               0.001486
                     88,                 1.1289,                0.59151,                 1.0471,                0.57387,                 0.6188,                 0.6163,                0.39712,                 1.3219,                0.71406,                 1.1796,               0.001387,               0.001387,               0.001387
                     89,                 1.1255,                0.58793,                 1.0467,                0.57696,                0.61826,                0.61696,                0.39781,                 1.3209,                0.71049,                 1.1788,               0.001288,               0.001288,               0.001288
                     90,                 1.1244,                0.58594,                 1.0443,                0.58087,                0.62702,                0.61791,                0.39871,                 1.3198,                 0.7065,                  1.178,               0.001189,               0.001189,               0.001189
                     91,                 1.1198,                0.53323,                 1.0497,                0.58884,                0.62724,                0.61832,                0.39952,                 1.3192,                0.70372,                 1.1773,                0.00109,                0.00109,                0.00109
                     92,                   1.11,                0.52261,                 1.0485,                 0.5949,                0.62119,                0.61891,                 0.4003,                 1.3184,                0.70034,                 1.1768,               0.000991,               0.000991,               0.000991
                     93,                 1.1057,                0.51666,                 1.0441,                0.59088,                0.62938,                0.61984,                0.40137,                 1.3175,                0.69677,                 1.1761,               0.000892,               0.000892,               0.000892
                     94,                  1.102,                0.51321,                 1.0439,                0.59488,                0.62756,                0.62083,                0.40206,                 1.3171,                0.69415,                 1.1758,               0.000793,               0.000793,               0.000793
                     95,                 1.0963,                0.51041,                 1.0399,                0.59579,                0.62677,                0.62142,                 0.4027,                 1.3173,                0.69263,                 1.1758,               0.000694,               0.000694,               0.000694
                     96,                 1.0929,                0.50632,                 1.0386,                0.59867,                0.62458,                0.62172,                0.40306,                 1.3172,                 0.6918,                 1.1757,               0.000595,               0.000595,               0.000595
                     97,                 1.0904,                0.50088,                 1.0381,                0.60167,                0.62298,                 0.6222,                0.40365,                 1.3168,                0.69006,                 1.1754,               0.000496,               0.000496,               0.000496
                     98,                 1.0853,                0.49933,                 1.0378,                0.59416,                0.63638,                0.62224,                 0.4038,                 1.3169,                0.68946,                 1.1755,               0.000397,               0.000397,               0.000397
                     99,                 1.0803,                 0.4939,                 1.0356,                0.60154,                0.63724,                0.62251,                0.40432,                  1.317,                0.68927,                 1.1755,               0.000298,               0.000298,               0.000298
                    100,                 1.0788,                 0.4926,                  1.035,                0.60334,                0.63669,                0.62318,                0.40482,                 1.3169,                 0.6878,                 1.1754,               0.000199,               0.000199,               0.000199
