                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4976,                 1.7546,                  1.247,                0.81321,                0.50671,                0.49413,                0.24727,                 1.6038,                 1.4694,                 1.3433,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.4439,                 1.1958,                 1.1893,                0.83119,                0.50481,                0.50791,                0.26192,                 1.6093,                  1.207,                 1.3385,              0.0065321,              0.0065321,              0.0065321
                      3,                 1.4683,                 1.1272,                 1.2035,                0.82073,                 0.5102,                0.49228,                0.25398,                 1.5987,                 1.2163,                 1.3401,              0.0096015,              0.0096015,              0.0096015
                      4,                 1.4687,                 1.0816,                  1.214,                0.84382,                0.51675,                0.52328,                0.27254,                 1.5655,                 1.1389,                 1.3165,               0.009406,               0.009406,               0.009406
                      5,                 1.4347,                 1.0178,                  1.196,                0.84163,                 0.5353,                0.52715,                0.27313,                 1.6287,                 1.0799,                 1.3519,               0.009208,               0.009208,               0.009208
                      6,                 1.4123,                0.97787,                 1.1862,                0.84672,                0.53955,                0.53973,                0.28857,                 1.5654,                 1.0479,                  1.322,                0.00901,                0.00901,                0.00901
                      7,                 1.3942,                0.95131,                 1.1783,                0.84544,                0.53976,                0.53477,                0.29121,                 1.5327,                 1.0073,                 1.2989,               0.008812,               0.008812,               0.008812
                      8,                 1.3859,                0.93077,                  1.171,                0.84942,                0.53674,                0.53818,                0.29636,                 1.5303,                 1.0291,                 1.2954,               0.008614,               0.008614,               0.008614
                      9,                 1.3728,                0.91621,                 1.1649,                0.84139,                0.54848,                0.54621,                0.30307,                 1.4945,                 1.0221,                 1.2765,               0.008416,               0.008416,               0.008416
                     10,                 1.3646,                0.90223,                  1.164,                0.84971,                0.54421,                0.55377,                0.30828,                 1.4872,                0.99539,                 1.2694,               0.008218,               0.008218,               0.008218
                     11,                 1.3545,                0.88531,                 1.1542,                0.85281,                0.54839,                0.55608,                 0.3081,                 1.4846,                0.98276,                 1.2725,                0.00802,                0.00802,                0.00802
                     12,                 1.3419,                0.87404,                 1.1525,                0.84584,                0.55981,                 0.5588,                0.31641,                 1.4584,                0.96124,                 1.2549,               0.007822,               0.007822,               0.007822
                     13,                 1.3395,                0.86575,                 1.1497,                0.85072,                0.54924,                0.55538,                0.31368,                 1.4803,                0.98109,                 1.2764,               0.007624,               0.007624,               0.007624
                     14,                 1.3317,                0.85637,                 1.1452,                0.85303,                0.55379,                0.56286,                0.32147,                  1.461,                0.96562,                 1.2616,               0.007426,               0.007426,               0.007426
                     15,                 1.3214,                 0.8438,                 1.1437,                0.84736,                0.56207,                0.56726,                0.32718,                 1.4466,                0.95721,                 1.2521,               0.007228,               0.007228,               0.007228
                     16,                 1.3164,                0.84099,                 1.1391,                0.84561,                 0.5634,                 0.5629,                0.32559,                 1.4392,                0.95539,                 1.2457,                0.00703,                0.00703,                0.00703
                     17,                 1.3084,                0.82658,                  1.131,                0.85292,                0.55785,                0.56501,                0.32872,                 1.4252,                0.93278,                 1.2357,               0.006832,               0.006832,               0.006832
                     18,                  1.302,                0.82434,                 1.1292,                0.84932,                0.56664,                0.56876,                0.33287,                 1.4251,                0.92361,                 1.2354,               0.006634,               0.006634,               0.006634
                     19,                 1.3059,                0.82231,                 1.1318,                0.84921,                0.56705,                0.57207,                0.33304,                 1.4228,                0.92969,                 1.2368,               0.006436,               0.006436,               0.006436
                     20,                 1.2928,                0.80975,                 1.1228,                0.85025,                  0.567,                0.57378,                0.33629,                 1.4203,                0.92105,                 1.2338,               0.006238,               0.006238,               0.006238
                     21,                 1.2914,                0.80082,                 1.1241,                0.84867,                0.57064,                0.57574,                0.33968,                 1.4169,                 0.9211,                 1.2317,                0.00604,                0.00604,                0.00604
                     22,                 1.2878,                0.80386,                 1.1228,                0.85215,                0.56772,                0.57589,                0.34122,                 1.4074,                0.91422,                 1.2243,               0.005842,               0.005842,               0.005842
                     23,                 1.2812,                0.78631,                 1.1181,                0.84387,                0.57587,                0.57374,                0.33991,                 1.4109,                0.91674,                 1.2316,               0.005644,               0.005644,               0.005644
                     24,                  1.274,                0.78671,                 1.1183,                0.85627,                 0.5659,                0.58051,                0.34446,                 1.4158,                0.90634,                 1.2318,               0.005446,               0.005446,               0.005446
                     25,                 1.2732,                0.78935,                 1.1199,                0.85089,                0.57121,                0.57849,                0.34408,                 1.4054,                0.90625,                 1.2296,               0.005248,               0.005248,               0.005248
                     26,                 1.2738,                0.77936,                 1.1151,                0.85532,                0.56796,                0.57954,                0.34435,                 1.4063,                 0.9005,                 1.2274,                0.00505,                0.00505,                0.00505
                     27,                 1.2618,                0.76929,                 1.1079,                0.85256,                0.57202,                0.58018,                 0.3477,                 1.4046,                0.90228,                 1.2269,               0.004852,               0.004852,               0.004852
                     28,                 1.2585,                0.77445,                 1.1072,                0.84951,                0.57541,                0.58144,                 0.3483,                 1.3901,                0.89558,                  1.216,               0.004654,               0.004654,               0.004654
                     29,                   1.26,                0.76534,                 1.1095,                0.85537,                0.57398,                0.58344,                0.34902,                 1.3937,                 0.8918,                 1.2185,               0.004456,               0.004456,               0.004456
                     30,                  1.247,                0.75311,                 1.1016,                0.85529,                0.57511,                0.58297,                0.35038,                 1.3902,                0.88862,                 1.2171,               0.004258,               0.004258,               0.004258
                     31,                 1.2464,                0.75324,                 1.1011,                0.85653,                0.57421,                0.58388,                0.35216,                 1.3884,                0.88714,                  1.218,                0.00406,                0.00406,                0.00406
                     32,                  1.236,                0.74696,                 1.0957,                 0.8566,                0.57335,                0.58426,                0.35218,                 1.3857,                0.88604,                 1.2135,               0.003862,               0.003862,               0.003862
                     33,                 1.2412,                0.74056,                 1.0953,                0.85513,                0.57444,                0.58522,                0.35404,                 1.3845,                0.88489,                 1.2125,               0.003664,               0.003664,               0.003664
                     34,                  1.228,                0.73718,                 1.0945,                 0.5246,                0.57141,                0.58681,                0.35531,                 1.3845,                0.87946,                 1.2143,               0.003466,               0.003466,               0.003466
                     35,                 1.2252,                0.73174,                 1.0932,                0.52248,                0.57384,                0.58655,                 0.3558,                 1.3854,                0.87966,                 1.2157,               0.003268,               0.003268,               0.003268
                     36,                 1.2224,                0.72913,                 1.0922,                0.52178,                0.57529,                0.58674,                0.35662,                 1.3827,                 0.8762,                 1.2134,                0.00307,                0.00307,                0.00307
                     37,                 1.2181,                 0.7185,                 1.0862,                0.52001,                0.57713,                0.58742,                0.35718,                 1.3834,                0.87763,                 1.2147,               0.002872,               0.002872,               0.002872
                     38,                 1.2127,                0.71394,                 1.0873,                0.52079,                0.57568,                0.58765,                0.35788,                 1.3825,                0.87648,                 1.2145,               0.002674,               0.002674,               0.002674
                     39,                 1.2117,                 0.7169,                 1.0859,                0.51948,                0.57838,                0.58727,                0.35795,                 1.3797,                0.87515,                 1.2124,               0.002476,               0.002476,               0.002476
                     40,                 1.2047,                0.70488,                 1.0807,                0.52063,                0.57649,                0.58763,                0.35869,                 1.3791,                0.87309,                 1.2118,               0.002278,               0.002278,               0.002278
                     41,                 1.2012,                0.65943,                 1.0967,                0.52277,                0.57592,                0.58872,                0.35988,                 1.3778,                   0.87,                 1.2121,                0.00208,                0.00208,                0.00208
                     42,                 1.1927,                0.64627,                 1.0925,                0.52091,                0.57942,                0.59031,                 0.3619,                  1.375,                0.86485,                  1.211,               0.001882,               0.001882,               0.001882
                     43,                 1.1854,                0.63445,                 1.0875,                0.52198,                0.57641,                0.59109,                0.36323,                 1.3747,                0.86133,                  1.211,               0.001684,               0.001684,               0.001684
                     44,                 1.1797,                0.63226,                 1.0873,                0.52338,                0.57594,                0.59165,                0.36431,                 1.3728,                0.85718,                 1.2104,               0.001486,               0.001486,               0.001486
                     45,                   1.17,                0.62126,                 1.0819,                 0.5047,                0.60148,                0.59277,                0.36578,                 1.3708,                 0.8523,                 1.2099,               0.001288,               0.001288,               0.001288
                     46,                 1.1642,                0.60899,                 1.0793,                0.51379,                0.59667,                0.59385,                0.36707,                 1.3695,                0.84826,                 1.2096,                0.00109,                0.00109,                0.00109
                     47,                  1.156,                0.60472,                 1.0757,                0.51865,                0.59346,                 0.5944,                0.36801,                 1.3686,                0.84414,                 1.2095,               0.000892,               0.000892,               0.000892
                     48,                 1.1513,                0.59541,                 1.0703,                0.52262,                0.59014,                0.59502,                0.36897,                 1.3679,                0.84015,                 1.2094,               0.000694,               0.000694,               0.000694
                     49,                 1.1445,                 0.5889,                 1.0673,                0.52028,                0.59882,                0.59553,                0.36989,                 1.3669,                0.83653,                 1.2089,               0.000496,               0.000496,               0.000496
                     50,                 1.1393,                0.58437,                 1.0662,                0.51656,                0.60633,                0.59599,                0.37096,                 1.3657,                0.83433,                 1.2086,               0.000298,               0.000298,               0.000298
